decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
20.92462,72.90311,Samanea saman (Jacq.) Merr.,LC
22.26459,70.71305,Pongamia pinnata (L.) Pierre,LC
10.25916,76.2347,Alstonia scholaris (L.) R.Br.,LC
15.39087,73.8784,Moringa oleifera Lam.,LC
9.35607,76.53867,Toona ciliata M.Roem.,LC
10.17983,76.24423,Tamarindus indica L.,LC
21.58087,73.06076,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
10.58608,76.48041,Tectona grandis L.f.,EN
9.39771,76.57853,Cassia fistula L.,LC
8.3598,77.05402,Azadirachta indica A.Juss.,LC
10.12693,76.30913,Moringa oleifera Lam.,LC
22.3119,73.18543,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
9.17053,76.59035,Couroupita guianensis Aubl.,LC
10.95745,76.80927,Manilkara zapota (L.) P.Royen,LC
9.37675,76.58425,Annona squamosa L.,LC
11.76325,75.4805,Lagerstroemia speciosa (L.) Pers.,LC
12.76143,76.05582,Azadirachta indica A.Juss.,LC
13.06842,77.57832,Ficus racemosa L.,LC
9.78619,76.44449,Mangifera indica L.,DD
8.93912,76.58208,Nyctanthes arbor-tristis L.,LC
9.73904,76.31886,Tectona grandis L.f.,EN
11.34558,75.95609,Psidium guajava L.,LC
19.11931,72.91497,Aegle marmelos (L.) Corrêa,NT
11.75671,92.70691,Tectona grandis L.f.,EN
