decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
14.398087,75.832333,"Pastor roseus (Linnaeus, 1758)",LC
11.664325,78.146014,"Chalcophaps indica (Linnaeus, 1758)",LC
17.589867,81.67601,"Hemiprocne coronata (Tickell, 1833)",LC
10.352284,77.219063,Tribulus terrestris L.,LC
22.685139,88.321112,"Danaus chrysippus (Linnaeus, 1758)",LC
26.577531,93.171122,"Pangshura sylhetensis Jerdon, 1870",CR
8.827764,76.859124,"Dinopium benghalense (Linnaeus, 1758)",LC
11.341497,76.855949,"Zizula hylax (Fabricius, 1775)",LC
30.576389,78.646942,"Asymblepharus himalayanus (Günther, 1864)",LC
13.072571,77.55838,"Columba livia J.F.Gmelin, 1789",LC
11.289087,76.940971,Senna obtusifolia (L.) H.S.Irwin & Barneby,LC
13.502664,75.090317,"Graphium sarpedon (Linnaeus, 1758)",LC
26.154039,91.662967,"Acridotheres fuscus (Wagler, 1827)",LC
10.317638,76.240703,"Neurothemis tullia (Drury, 1773)",LC
23.251362,88.594437,"Ischnura rubilio Selys, 1876",LC
28.569786,77.302597,"Circus aeruginosus (Linnaeus, 1758)",LC
13.385976,74.904801,"Fowlea piscator (Schneider, 1799)",LC
32.294319,75.624168,"Nycticorax nycticorax (Linnaeus, 1758)",LC
18.176991,74.95369,"Upupa epops Linnaeus, 1758",LC
19.018236,73.279388,"Eurema hecabe (Linnaeus, 1758)",LC
24.1501,72.7311,"Calotes versicolor (Daudin, 1802)",LC
12.874206,77.527243,"Diplacodes trivialis (Rambur, 1842)",LC
11.946239,79.760979,Khaya senegalensis (Desv.) A.Juss.,VU
15.39719,74.338219,Garcinia indica (Thouars) Choisy,VU
26.74652,94.202586,"Hoolock hoolock (Harlan, 1834)",EN
12.904852,77.515152,"Psammophilus dorsalis (Gray, 1831)",LC
8.88901,76.649935,Mimosa pudica L.,LC
22.360727,73.058237,"Lutrogale perspicillata (I.Geoffroy Saint-Hilaire, 1826)",VU
19.9127,85.6646,Azolla pinnata R.Br.,LC
11.962712,79.768532,"Naja naja (Linnaeus, 1758)",LC
12.992046,80.236686,"Ictinogomphus rapax (Rambur, 1842)",LC
11.100069,76.942701,"Dinopium benghalense (Linnaeus, 1758)",LC
24.43202,92.330688,"Dicaeum erythrorhynchos (Latham, 1790)",LC
26.769339,78.624924,"Platalea leucorodia Linnaeus, 1758",LC
26.841457,75.822357,"Halcyon smyrnensis (Linnaeus, 1758)",LC
27.353325,88.514786,"Actinodura egertoni Gould, 1836",LC
25.143524,94.28334,"Cyprinus carpio Linnaeus, 1758",LC
12.890235,77.587374,"Diplacodes trivialis (Rambur, 1842)",LC
21.31995,72.881673,"Euploea core (Cramer, 1780)",LC
15.112533,74.358044,"Nyctibatrachus petraeus Das & Kunte, 2005",NT
25.978571,92.496819,"Calotes versicolor (Daudin, 1802)",LC
15.7033,74.773,"Junonia almana (Linnaeus, 1758)",LC
22.756159,88.373604,"Daboia russelii (Shaw & Nodder, 1797)",LC
11.029475,77.119033,"Rhyothemis variegata (Linnaeus, 1763)",LC
13.191278,80.260117,"Ardeola grayii (Sykes, 1832)",LC
9.152877,76.786744,"Euploea core (Cramer, 1780)",LC
11.6859,78.1758,"Zizula hylax (Fabricius, 1775)",LC
14.319264,74.454307,"Indosylvirana intermedia (Rao, 1937)",LC
13.575214,75.106908,"Pedostibes tuberculosus Günther, 1876",LC
27.098356,92.817829,"Troides aeacus (Felder & Felder, 1860)",LC
22.334513,80.611511,"Axis axis (Erxleben, 1777)",LC
17.340971,78.3993,"Ardea cinerea Linnaeus, 1758",LC
22.685684,88.321274,"Urothemis signata (Rambur, 1842)",LC
9.925302,76.769289,"Tetrathemis platyptera Selys, 1878",LC
26.884905,88.269234,"Pernis ptilorhynchus (Temminck, 1821)",LC
10.059024,76.284841,"Brachydiplax chalybea Brauer, 1868",LC
23.26532,71.459198,"Ardea alba Linnaeus, 1758",LC
14.354177,75.798646,"Acridotheres fuscus (Wagler, 1827)",LC
25.202663,83.003654,"Rynchops albicollis Swainson, 1838",EN
19.296644,72.914627,"Diplacodes trivialis (Rambur, 1842)",LC
13.496906,75.082719,"Hoplobatrachus tigerinus (Daudin, 1802)",LC
26.202281,91.739281,"Calotes versicolor (Daudin, 1802)",LC
19.004379,73.282455,"Phalanta phalantha (Drury, 1773)",LC
23.627069,77.44889,"Diplacodes trivialis (Rambur, 1842)",LC
26.878593,80.862976,"Semnopithecus hector (Pocock, 1928)",NT
9.649716,76.381111,"Neurothemis tullia (Drury, 1773)",LC
25.881457,91.423539,"Ixobrychus cinnamomeus (Gmelin, 1789)",LC
12.672578,77.765774,"Ocyceros birostris (Scopoli, 1786)",LC
15.44011,74.106378,"Axis axis (Erxleben, 1777)",LC
